seed,simulate,simulate.scenario,simulate.output.file,fit,fit.output.file,mse.err
36,zh,4,zh/zh_144,ridge,ridge/zh_144_ridge_1,294.731273489071
37,zh,1,zh/zh_145,ridge,ridge/zh_145_ridge_1,11.2270166667193
37,zh,2,zh/zh_146,ridge,ridge/zh_146_ridge_1,9.75026277449345
37,zh,3,zh/zh_147,ridge,ridge/zh_147_ridge_1,273.844796597662
37,zh,4,zh/zh_148,ridge,ridge/zh_148_ridge_1,263.820219433233
38,zh,1,zh/zh_149,ridge,ridge/zh_149_ridge_1,10.2380739725571
38,zh,2,zh/zh_150,ridge,ridge/zh_150_ridge_1,10.0019097437646
38,zh,3,zh/zh_151,ridge,ridge/zh_151_ridge_1,247.784646742718
38,zh,4,zh/zh_152,ridge,ridge/zh_152_ridge_1,242.283306471771
39,zh,1,zh/zh_153,ridge,ridge/zh_153_ridge_1,11.9716652679365
39,zh,2,zh/zh_154,ridge,ridge/zh_154_ridge_1,9.15504096548165
39,zh,3,zh/zh_155,ridge,ridge/zh_155_ridge_1,210.033678694037
39,zh,4,zh/zh_156,ridge,ridge/zh_156_ridge_1,278.615624360011
40,zh,1,zh/zh_157,ridge,ridge/zh_157_ridge_1,11.3909640411681
40,zh,2,zh/zh_158,ridge,ridge/zh_158_ridge_1,9.85679077516851
40,zh,3,zh/zh_159,ridge,ridge/zh_159_ridge_1,245.098726652237
40,zh,4,zh/zh_160,ridge,ridge/zh_160_ridge_1,257.830577454331
41,zh,1,zh/zh_161,ridge,ridge/zh_161_ridge_1,8.46410329097987
41,zh,2,zh/zh_162,ridge,ridge/zh_162_ridge_1,8.44419625779423
41,zh,3,zh/zh_163,ridge,ridge/zh_163_ridge_1,250.432785873774
41,zh,4,zh/zh_164,ridge,ridge/zh_164_ridge_1,258.857344995808
42,zh,1,zh/zh_165,ridge,ridge/zh_165_ridge_1,10.9246056365901
42,zh,2,zh/zh_166,ridge,ridge/zh_166_ridge_1,10.9329407135357
42,zh,3,zh/zh_167,ridge,ridge/zh_167_ridge_1,234.10269237711
42,zh,4,zh/zh_168,ridge,ridge/zh_168_ridge_1,289.831886564999
43,zh,1,zh/zh_169,ridge,ridge/zh_169_ridge_1,13.3974038851042
43,zh,2,zh/zh_170,ridge,ridge/zh_170_ridge_1,10.7684807124523
43,zh,3,zh/zh_171,ridge,ridge/zh_171_ridge_1,257.190675411266
43,zh,4,zh/zh_172,ridge,ridge/zh_172_ridge_1,336.646040153354
44,zh,1,zh/zh_173,ridge,ridge/zh_173_ridge_1,13.2727251921819
44,zh,2,zh/zh_174,ridge,ridge/zh_174_ridge_1,11.3690929005487
44,zh,3,zh/zh_175,ridge,ridge/zh_175_ridge_1,245.706444844456
44,zh,4,zh/zh_176,ridge,ridge/zh_176_ridge_1,296.894291040656
45,zh,1,zh/zh_177,ridge,ridge/zh_177_ridge_1,9.93229098532613
45,zh,2,zh/zh_178,ridge,ridge/zh_178_ridge_1,10.2177946930423
45,zh,3,zh/zh_179,ridge,ridge/zh_179_ridge_1,241.114651108244
45,zh,4,zh/zh_180,ridge,ridge/zh_180_ridge_1,263.225319429622
46,zh,1,zh/zh_181,ridge,ridge/zh_181_ridge_1,8.51665317039948
46,zh,2,zh/zh_182,ridge,ridge/zh_182_ridge_1,9.16862206797822
46,zh,3,zh/zh_183,ridge,ridge/zh_183_ridge_1,240.997661112495
46,zh,4,zh/zh_184,ridge,ridge/zh_184_ridge_1,244.387656484199
47,zh,1,zh/zh_185,ridge,ridge/zh_185_ridge_1,10.2251393837256
47,zh,2,zh/zh_186,ridge,ridge/zh_186_ridge_1,9.92921236335637
47,zh,3,zh/zh_187,ridge,ridge/zh_187_ridge_1,245.352971501545
47,zh,4,zh/zh_188,ridge,ridge/zh_188_ridge_1,295.692508537514
48,zh,1,zh/zh_189,ridge,ridge/zh_189_ridge_1,10.7606449938704
48,zh,2,zh/zh_190,ridge,ridge/zh_190_ridge_1,10.6398932108021
48,zh,3,zh/zh_191,ridge,ridge/zh_191_ridge_1,238.490645919378
48,zh,4,zh/zh_192,ridge,ridge/zh_192_ridge_1,229.069379168078
49,zh,1,zh/zh_193,ridge,ridge/zh_193_ridge_1,11.3784036657423
49,zh,2,zh/zh_194,ridge,ridge/zh_194_ridge_1,11.2152140832402
49,zh,3,zh/zh_195,ridge,ridge/zh_195_ridge_1,233.421833039405
49,zh,4,zh/zh_196,ridge,ridge/zh_196_ridge_1,245.939149570909
50,zh,1,zh/zh_197,ridge,ridge/zh_197_ridge_1,8.73882674773007
50,zh,2,zh/zh_198,ridge,ridge/zh_198_ridge_1,8.838562054321
50,zh,3,zh/zh_199,ridge,ridge/zh_199_ridge_1,237.371231773644
50,zh,4,zh/zh_200,ridge,ridge/zh_200_ridge_1,280.278164910883
51,zh,1,zh/zh_201,ridge,ridge/zh_201_ridge_1,13.2230697589525
51,zh,2,zh/zh_202,ridge,ridge/zh_202_ridge_1,11.8548773459277
51,zh,3,zh/zh_203,ridge,ridge/zh_203_ridge_1,217.254364262029
51,zh,4,zh/zh_204,ridge,ridge/zh_204_ridge_1,234.804797643427
52,zh,1,zh/zh_205,ridge,ridge/zh_205_ridge_1,12.0625649546252
52,zh,2,zh/zh_206,ridge,ridge/zh_206_ridge_1,10.0012517185501
52,zh,3,zh/zh_207,ridge,ridge/zh_207_ridge_1,250.340062293348
52,zh,4,zh/zh_208,ridge,ridge/zh_208_ridge_1,275.400175305668
53,zh,1,zh/zh_209,ridge,ridge/zh_209_ridge_1,12.272637081036
53,zh,2,zh/zh_210,ridge,ridge/zh_210_ridge_1,11.6468862712387
53,zh,3,zh/zh_211,ridge,ridge/zh_211_ridge_1,241.249325497736
